"Land";"Bremen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Bremen, Stadt";"04011";"Schwarzwald-Baar-Kreis";"08326";"30";"20";"10";"10";"20";"0"
"Bremen, Stadt";"04011";"Tuttlingen";"08327";"20";"10";"10";"10";"10";"0"
"Bremen, Stadt";"04011";"Konstanz";"08335";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Waldshut";"08337";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"084xx";"10";"0";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Reutlingen";"08415";"30";"30";"0";"30";"10";"0"
"Bremen, Stadt";"04011";"Tübingen";"08416";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Zollernalbkreis";"08417";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Ulm, Universitätsstadt";"08421";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Alb-Donau-Kreis";"08425";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Biberach";"08426";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Bodenseekreis";"08435";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Ravensburg";"08436";"30";"30";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"091xx";"10";"10";"0";"0";"0";"0"
"Bremen, Stadt";"04011";"Ingolstadt, Stadt";"09161";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"München, Landeshauptstadt";"09162";"400";"250";"150";"290";"110";"0"
"Bremen, Stadt";"04011";"Rosenheim, Stadt";"09163";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Altötting";"09171";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Bad Tölz-Wolfratshausen";"09173";"50";"50";"10";"50";"0";"0"
"Bremen, Stadt";"04011";"Dachau";"09174";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Ebersberg";"09175";"40";"20";"20";"30";"10";"0"
"Bremen, Stadt";"04011";"Eichstätt";"09176";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Erding";"09177";"30";"20";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Freising";"09178";"50";"40";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Fürstenfeldbruck";"09179";"50";"30";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Garmisch-Partenkirchen";"09180";"40";"30";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Landsberg am Lech";"09181";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Miesbach";"09182";"20";"20";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Mühldorf aInn";"09183";"20";"10";"10";"10";"10";"0"
"Bremen, Stadt";"04011";"München";"09184";"90";"50";"30";"60";"20";"0"
"Bremen, Stadt";"04011";"Pfaffenhofen adIlm";"09186";"30";"20";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Rosenheim";"09187";"30";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Starnberg";"09188";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Traunstein";"09189";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Weilheim-Schongau";"09190";"70";"60";"20";"70";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"092xx";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Landshut, Stadt";"09261";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Deggendorf";"09271";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Kelheim";"09273";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Landshut";"09274";"20";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Passau";"09275";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Rottal-Inn";"09277";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Straubing-Bogen";"09278";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Dingolfing-Landau";"09279";"10";"10";"0";"10";"10";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"093xx";"20";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Regensburg, Stadt";"09362";"20";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Neumarkt idOPf";"09373";"20";"10";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Regensburg";"09375";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Schwandorf";"09376";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"094xx";"40";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Bamberg, Stadt";"09461";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Bayreuth, Stadt";"09462";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Bamberg";"09471";"20";"10";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Forchheim";"09474";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Hof";"09475";"20";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Lichtenfels";"09478";"10";"10";"0";"10";"0";"0"
"Bremen, Stadt";"04011";"Übrige Kreise (Regierungsbezirk)";"095xx";"20";"10";"10";"20";"0";"0"
