"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Augsburg";"09772";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Günzburg";"09774";"10";"10";"10";"0";"10";"0"
"Erfurt, Stadt";"16051";"Donau-Ries";"09779";"10";"10";"0";"0";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"100xx";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Regionalverband Saarbrücken";"10041";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Berlin, Stadt";"11000";"640";"350";"300";"460";"180";"10"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"120xx";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Cottbus, Stadt";"12052";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Potsdam, Stadt";"12054";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Barnim";"12060";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Dahme-Spreewald";"12061";"30";"20";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Elbe-Elster";"12062";"20";"10";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Havelland";"12063";"30";"10";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Märkisch-Oderland";"12064";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Oberhavel";"12065";"20";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Oberspreewald-Lausitz";"12066";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Oder-Spree";"12067";"40";"20";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Potsdam-Mittelmark";"12069";"30";"20";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Spree-Neiße";"12071";"20";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Teltow-Fläming";"12072";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Uckermark";"12073";"20";"10";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Rostock, Hanse- und Universitätsstadt";"13003";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Schwerin, Landeshauptstadt";"13004";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Mecklenburgische Seenplatte";"13071";"40";"20";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Landkreis Rostock";"13072";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Vorpommern-Rügen";"13073";"30";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Nordwestmecklenburg";"13074";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Vorpommern-Greifswald";"13075";"30";"20";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Ludwigslust-Parchim";"13076";"20";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Chemnitz, Stadt";"14511";"100";"60";"40";"90";"10";"0"
"Erfurt, Stadt";"16051";"Erzgebirgskreis";"14521";"60";"40";"20";"60";"10";"10"
"Erfurt, Stadt";"16051";"Mittelsachsen";"14522";"80";"60";"30";"80";"0";"0"
"Erfurt, Stadt";"16051";"Vogtlandkreis";"14523";"110";"70";"40";"100";"10";"0"
"Erfurt, Stadt";"16051";"Zwickau";"14524";"170";"110";"60";"160";"10";"0"
"Erfurt, Stadt";"16051";"Dresden, Stadt";"14612";"180";"120";"60";"170";"20";"10"
"Erfurt, Stadt";"16051";"Bautzen";"14625";"40";"30";"10";"40";"0";"0"
"Erfurt, Stadt";"16051";"Görlitz";"14626";"50";"40";"10";"30";"20";"10"
"Erfurt, Stadt";"16051";"Meißen";"14627";"40";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Sächsische Schweiz-Osterzgebirge";"14628";"40";"20";"20";"40";"10";"0"
"Erfurt, Stadt";"16051";"Leipzig, Stadt";"14713";"620";"370";"260";"530";"90";"10"
"Erfurt, Stadt";"16051";"Leipzig";"14729";"130";"70";"50";"110";"10";"0"
"Erfurt, Stadt";"16051";"Nordsachsen";"14730";"70";"50";"30";"70";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"150xx";"10";"0";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Dessau-Roßlau, Stadt";"15001";"40";"20";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Halle (Saale), Stadt";"15002";"200";"110";"90";"180";"30";"0"
"Erfurt, Stadt";"16051";"Magdeburg, Landeshauptstadt";"15003";"170";"90";"80";"140";"20";"0"
"Erfurt, Stadt";"16051";"Anhalt-Bitterfeld";"15082";"50";"40";"20";"50";"10";"0"
"Erfurt, Stadt";"16051";"Börde";"15083";"70";"50";"20";"60";"10";"10"
"Erfurt, Stadt";"16051";"Burgenlandkreis";"15084";"410";"250";"160";"400";"10";"20"
"Erfurt, Stadt";"16051";"Harz";"15085";"50";"30";"20";"50";"0";"0"
"Erfurt, Stadt";"16051";"Jerichower Land";"15086";"40";"20";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Mansfeld-Südharz";"15087";"310";"180";"130";"300";"10";"10"
"Erfurt, Stadt";"16051";"Saalekreis";"15088";"140";"90";"50";"140";"10";"0"
"Erfurt, Stadt";"16051";"Salzlandkreis";"15089";"100";"80";"30";"100";"10";"0"
"Erfurt, Stadt";"16051";"Stendal";"15090";"40";"20";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Wittenberg";"15091";"50";"30";"20";"40";"10";"0"
"Erfurt, Stadt";"16051";"Gera, Stadt";"16052";"750";"440";"310";"650";"110";"30"
"Erfurt, Stadt";"16051";"Jena, Stadt";"16053";"1380";"840";"540";"1250";"130";"30"
"Erfurt, Stadt";"16051";"Suhl, Stadt";"16054";"640";"300";"340";"560";"80";"20"
"Erfurt, Stadt";"16051";"Weimar, Stadt";"16055";"2960";"1730";"1240";"2700";"260";"70"
"Erfurt, Stadt";"16051";"Eichsfeld";"16061";"500";"320";"180";"470";"30";"20"
"Erfurt, Stadt";"16051";"Nordhausen";"16062";"600";"350";"260";"570";"40";"20"
"Erfurt, Stadt";"16051";"Wartburgkreis";"16063";"1470";"660";"810";"1420";"50";"60"
"Erfurt, Stadt";"16051";"Unstrut-Hainich-Kreis";"16064";"2370";"1220";"1150";"2290";"70";"90"
"Erfurt, Stadt";"16051";"Kyffhäuserkreis";"16065";"1980";"880";"1100";"1900";"80";"100"
"Erfurt, Stadt";"16051";"Schmalkalden-Meiningen";"16066";"1350";"710";"640";"1300";"50";"40"
"Erfurt, Stadt";"16051";"Gotha";"16067";"6630";"3110";"3520";"6020";"610";"210"
"Erfurt, Stadt";"16051";"Sömmerda";"16068";"7050";"3310";"3740";"6750";"290";"260"
"Erfurt, Stadt";"16051";"Hildburghausen";"16069";"550";"210";"340";"520";"30";"30"
"Erfurt, Stadt";"16051";"Ilm-Kreis";"16070";"5270";"2510";"2770";"4810";"460";"150"
"Erfurt, Stadt";"16051";"Weimarer Land";"16071";"4360";"2310";"2060";"4210";"150";"130"
"Erfurt, Stadt";"16051";"Sonneberg";"16072";"550";"160";"390";"530";"10";"10"
"Erfurt, Stadt";"16051";"Saalfeld-Rudolstadt";"16073";"1010";"570";"440";"970";"40";"40"
"Erfurt, Stadt";"16051";"Saale-Holzland-Kreis";"16074";"670";"400";"280";"640";"30";"20"
"Erfurt, Stadt";"16051";"Saale-Orla-Kreis";"16075";"340";"220";"120";"320";"20";"10"
"Erfurt, Stadt";"16051";"Greiz";"16076";"540";"270";"270";"520";"30";"30"
"Erfurt, Stadt";"16051";"Altenburger Land";"16077";"450";"130";"320";"430";"20";"10"
"Erfurt, Stadt";"16051";"Bulgarien";"BG";"30";"30";"0";"0";"30";"0"
"Erfurt, Stadt";"16051";"Tschechien";"CZ";"110";"100";"0";"0";"110";"0"
"Erfurt, Stadt";"16051";"Polen";"PL";"470";"430";"30";"0";"460";"0"
"Erfurt, Stadt";"16051";"Rumänien";"RO";"20";"20";"0";"0";"20";"0"
"Erfurt, Stadt";"16051";"Slowakei";"SK";"20";"10";"10";"0";"20";"0"
"Gera, Stadt";"16052";"Einpendler insgesamt";"0";"16250";"7890";"8360";"14770";"1480";"570"
"Gera, Stadt";"16052";"Hamburg, Freie und Hansestadt";"02000";"10";"10";"0";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"032xx";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Region Hannover";"03241";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"034xx";"30";"20";"20";"30";"10";"0"
"Gera, Stadt";"16052";"Oldenburg (Oldenburg), Stadt";"03403";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"040xx";"0";"0";"0";"0";"0";"0"
"Gera, Stadt";"16052";"Bremen, Stadt";"04011";"20";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"051xx";"60";"40";"20";"40";"20";"0"
"Gera, Stadt";"16052";"Duisburg, Stadt";"05112";"10";"10";"0";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"053xx";"30";"20";"10";"20";"10";"0"
"Gera, Stadt";"16052";"Köln, Stadt";"05315";"10";"10";"0";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"055xx";"20";"10";"0";"20";"0";"0"
"Gera, Stadt";"16052";"Recklinghausen";"05562";"20";"20";"10";"20";"10";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"059xx";"20";"10";"10";"20";"0";"0"
"Gera, Stadt";"16052";"Bochum, Stadt";"05911";"50";"30";"20";"50";"10";"0"
"Gera, Stadt";"16052";"Dortmund, Stadt";"05913";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Herne, Stadt";"05916";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Ennepe-Ruhr-Kreis";"05954";"10";"10";"10";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"066xx";"20";"10";"10";"10";"10";"0"
"Gera, Stadt";"16052";"Fulda";"06631";"10";"10";"0";"10";"0";"0"
"Gera, Stadt";"16052";"Übrige Kreise (Regierungsbezirk)";"091xx";"30";"20";"10";"20";"10";"0"
