"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Ingolstadt, Stadt";"09161";"240";"160";"80";"140";"100";"0"
"Berlin, Stadt";"11000";"München, Landeshauptstadt";"09162";"6110";"3560";"2550";"3850";"2260";"30"
"Berlin, Stadt";"11000";"Rosenheim, Stadt";"09163";"70";"50";"20";"50";"20";"0"
"Berlin, Stadt";"11000";"Altötting";"09171";"60";"30";"30";"50";"10";"0"
"Berlin, Stadt";"11000";"Berchtesgadener Land";"09172";"90";"60";"30";"70";"20";"0"
"Berlin, Stadt";"11000";"Bad Tölz-Wolfratshausen";"09173";"160";"90";"70";"140";"30";"0"
"Berlin, Stadt";"11000";"Dachau";"09174";"220";"130";"90";"160";"60";"0"
"Berlin, Stadt";"11000";"Ebersberg";"09175";"320";"210";"110";"220";"100";"0"
"Berlin, Stadt";"11000";"Eichstätt";"09176";"150";"90";"60";"110";"40";"0"
"Berlin, Stadt";"11000";"Erding";"09177";"170";"100";"70";"130";"40";"0"
"Berlin, Stadt";"11000";"Freising";"09178";"320";"180";"150";"190";"130";"0"
"Berlin, Stadt";"11000";"Fürstenfeldbruck";"09179";"390";"260";"130";"290";"100";"0"
"Berlin, Stadt";"11000";"Garmisch-Partenkirchen";"09180";"140";"80";"60";"110";"30";"10"
"Berlin, Stadt";"11000";"Landsberg am Lech";"09181";"170";"100";"70";"140";"30";"0"
"Berlin, Stadt";"11000";"Miesbach";"09182";"190";"120";"70";"150";"50";"0"
"Berlin, Stadt";"11000";"Mühldorf aInn";"09183";"100";"60";"40";"70";"30";"0"
"Berlin, Stadt";"11000";"München";"09184";"890";"560";"330";"640";"250";"10"
"Berlin, Stadt";"11000";"Neuburg-Schrobenhausen";"09185";"80";"50";"40";"70";"10";"0"
"Berlin, Stadt";"11000";"Pfaffenhofen adIlm";"09186";"140";"90";"50";"110";"40";"0"
"Berlin, Stadt";"11000";"Rosenheim";"09187";"290";"170";"120";"250";"50";"0"
"Berlin, Stadt";"11000";"Starnberg";"09188";"320";"170";"150";"250";"70";"0"
"Berlin, Stadt";"11000";"Traunstein";"09189";"130";"80";"50";"110";"20";"0"
"Berlin, Stadt";"11000";"Weilheim-Schongau";"09190";"150";"90";"70";"130";"20";"0"
"Berlin, Stadt";"11000";"Landshut, Stadt";"09261";"90";"60";"40";"70";"30";"0"
"Berlin, Stadt";"11000";"Passau, Stadt";"09262";"130";"80";"50";"70";"50";"0"
"Berlin, Stadt";"11000";"Straubing, Stadt";"09263";"30";"20";"20";"20";"10";"0"
"Berlin, Stadt";"11000";"Deggendorf";"09271";"110";"70";"30";"60";"50";"0"
"Berlin, Stadt";"11000";"Freyung-Grafenau";"09272";"20";"10";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Kelheim";"09273";"90";"50";"40";"70";"30";"0"
"Berlin, Stadt";"11000";"Landshut";"09274";"160";"90";"70";"120";"50";"0"
