lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %
305;13003;Rostock (Kreisfreie Stadt);5.297 
306;03357;Rotenburg (Wümme);1.599 
307;09576;Roth;2.765 
308;09277;Rottal-Inn;1.951 
309;08325;Rottweil;2.956 
310;16074;Saale-Holzland-Kreis;1.842 
311;16075;Saale-Orla-Kreis;1.799 
312;15088;Saalekreis;1.973 
313;16073;Saalfeld-Rudolstadt;1.761 
314;10044;Saarlouis;3.511 
315;10045;Saarpfalz-Kreis;3.153 
316;03102;Salzgitter;3.951 
317;15089;Salzlandkreis;1.876 
318;03257;Schaumburg;3.172 
319;01059;Schleswig-Flensburg;1.822 
320;16066;Schmalkalden-Meiningen;2.061 
321;09565;Schwabach;6.416 
322;06634;Schwalm-Eder-Kreis;2.894 
323;09376;Schwandorf;2.422 
324;08326;Schwarzwald-Baar-Kreis;2.509 
325;09662;Schweinfurt;8.853 
326;09678;Schweinfurt (Landkreis);2.815 
327;13004;Schwerin;3.769 
328;08127;Schwäbisch Hall;2.347 
329;01060;Segeberg;2.223 
330;05970;Siegen-Wittgenstein;4.206 
331;08437;Sigmaringen;2.204 
332;05974;Soest;3.096 
333;05122;Solingen;7.064 
334;16072;Sonneberg;2.043 
335;07318;Speyer;6.642 
336;12071;Spree-Neiße;1.433 
337;10046;St. Wendel;2.545 
338;03359;Stade;1.919 
339;09188;Starnberg;2.807 
340;01061;Steinburg;1.740 
341;05566;Steinfurt;2.970 
342;15090;Stendal;0.774 
343;01062;Stormarn;2.691 
344;09263;Straubing;5.380 
345;09278;Straubing-Bogen;2.185 
346;08111;Stuttgart;8.928 
347;05334;Städteregion Aachen;4.425 
348;16054;Suhl;3.290 
349;14628;Sächsische Schweiz-Osterzgebirge;2.216 
350;16068;Sömmerda;1.337 
351;07337;Südliche Weinstraße;2.349 
352;07340;Südwestpfalz;1.634 
353;12072;Teltow-Fläming;1.312 
354;09377;Tirschenreuth;2.219 
355;09189;Traunstein;1.751 
356;07211;Trier;4.990 
357;07235;Trier-Saarburg;2.398 
358;08327;Tuttlingen;2.774 
359;08416;Tübingen;3.546 
360;12073;Uckermark;0.868 
361;03360;Uelzen;1.401 
362;08421;Ulm;5.690 
363;05978;Unna;5.079 
364;16064;Unstrut-Hainich-Kreis;1.399 
365;09778;Unterallgäu;2.450 
366;03460;Vechta;2.485 
367;03361;Verden;2.334 
368;05166;Viersen;4.066 
369;06535;Vogelsbergkreis;2.388 
370;14523;Vogtlandkreis;2.460 
371;13075;Vorpommern-Greifswald;1.012 
372;13073;Vorpommern-Rügen;1.125 
373;07233;Vulkaneifel;1.781 
374;06635;Waldeck-Frankenberg;2.659 
375;08337;Waldshut;2.476 
376;05570;Warendorf;2.437 
377;16063;Wartburgkreis;1.804 
378;09363;Weiden i.d. OPf.;5.673 
379;09190;Weilheim-Schongau;2.098 
380;16055;Weimar;4.492 
381;16071;Weimarer Land;1.759 
382;09577;Weißenburg-Gunzenhausen;2.458 
383;06636;Werra-Meißner-Kreis;2.536 
384;05170;Wesel;3.453 
385;03461;Wesermarsch;1.840 
386;07143;Westerwaldkreis;2.984 
387;06440;Wetteraukreis;3.493 
388;06414;Wiesbaden;6.275 
389;03405;Wilhelmshaven;5.432 
390;15091;Wittenberg;1.426 
391;03462;Wittmund;1.794 
392;03158;Wolfenbüttel;2.477 
393;03103;Wolfsburg;4.900 
394;07319;Worms;5.028 
395;09479;Wunsiedel i. Fichtelgebirge;2.578 
396;05124;Wuppertal;7.716 
397;09663;Würzburg;8.190 
398;09679;Würzburg (Landkreis);2.967 
399;08417;Zollernalbkreis;2.826 
400;07320;Zweibrücken;4.400 
401;14524;Zwickau;3.439 
;;Deutschland;2.473 
