"Land";"Rheinland-Pfalz"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Ahrweiler";"07131";"Hamburg, Freie und Hansestadt";"02000";"100";"80";"20";"70";"30";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"032xx";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Region Hannover";"03241";"30";"20";"10";"30";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"034xx";"30";"20";"10";"20";"10";"0"
"Ahrweiler";"07131";"Emsland";"03454";"20";"20";"0";"20";"0";"0"
"Ahrweiler";"07131";"Bremen, Stadt";"04011";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"051xx";"30";"20";"10";"20";"0";"0"
"Ahrweiler";"07131";"Düsseldorf, Stadt";"05111";"300";"190";"110";"270";"30";"0"
"Ahrweiler";"07131";"Duisburg, Stadt";"05112";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Essen, Stadt";"05113";"60";"30";"30";"50";"10";"0"
"Ahrweiler";"07131";"Krefeld, Stadt";"05114";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Mönchengladbach, Stadt";"05116";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Oberhausen, Stadt";"05119";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Wuppertal, Stadt";"05124";"30";"20";"20";"30";"10";"0"
"Ahrweiler";"07131";"Mettmann";"05158";"130";"90";"40";"60";"70";"0"
"Ahrweiler";"07131";"Rhein-Kreis Neuss";"05162";"80";"60";"20";"70";"10";"0"
"Ahrweiler";"07131";"Viersen";"05166";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Wesel";"05170";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Bonn, Stadt";"05314";"7430";"3490";"3940";"6800";"630";"180"
"Ahrweiler";"07131";"Köln, Stadt";"05315";"1720";"1080";"650";"1550";"170";"40"
"Ahrweiler";"07131";"Leverkusen, Stadt";"05316";"70";"50";"20";"60";"10";"0"
"Ahrweiler";"07131";"Städteregion Aachen";"05334";"100";"70";"30";"90";"10";"0"
"Ahrweiler";"07131";"Düren";"05358";"70";"40";"20";"70";"0";"0"
"Ahrweiler";"07131";"Rhein-Erft-Kreis";"05362";"490";"340";"150";"440";"50";"10"
"Ahrweiler";"07131";"Euskirchen";"05366";"820";"480";"340";"770";"50";"30"
"Ahrweiler";"07131";"Heinsberg";"05370";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Oberbergischer Kreis";"05374";"40";"30";"10";"40";"0";"0"
"Ahrweiler";"07131";"Rheinisch-Bergischer Kreis";"05378";"60";"40";"30";"50";"10";"0"
"Ahrweiler";"07131";"Rhein-Sieg-Kreis";"05382";"3490";"2050";"1430";"3100";"390";"90"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"055xx";"30";"30";"10";"30";"10";"0"
"Ahrweiler";"07131";"Münster, Stadt";"05515";"30";"20";"10";"30";"0";"0"
"Ahrweiler";"07131";"Recklinghausen";"05562";"20";"10";"10";"20";"10";"0"
"Ahrweiler";"07131";"Steinfurt";"05566";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"057xx";"20";"20";"0";"20";"0";"0"
"Ahrweiler";"07131";"Bielefeld, Stadt";"05711";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Gütersloh";"05754";"20";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Herford";"05758";"10";"10";"0";"0";"10";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"059xx";"30";"20";"10";"20";"10";"0"
"Ahrweiler";"07131";"Bochum, Stadt";"05911";"20";"10";"10";"10";"10";"0"
"Ahrweiler";"07131";"Dortmund, Stadt";"05913";"40";"30";"10";"30";"10";"0"
"Ahrweiler";"07131";"Hamm, Stadt";"05915";"20";"20";"0";"0";"10";"0"
"Ahrweiler";"07131";"Ennepe-Ruhr-Kreis";"05954";"10";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"Märkischer Kreis";"05962";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Siegen-Wittgenstein";"05970";"20";"20";"10";"20";"0";"0"
"Ahrweiler";"07131";"Unna";"05978";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"064xx";"30";"20";"10";"30";"10";"0"
"Ahrweiler";"07131";"Darmstadt, Wissenschaftsstadt";"06411";"20";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"Frankfurt am Main, Stadt";"06412";"200";"120";"80";"190";"10";"0"
"Ahrweiler";"07131";"Wiesbaden, Landeshauptstadt";"06414";"40";"30";"20";"40";"0";"0"
"Ahrweiler";"07131";"Groß-Gerau";"06433";"20";"20";"0";"20";"0";"0"
"Ahrweiler";"07131";"Hochtaunuskreis";"06434";"30";"20";"10";"20";"0";"0"
"Ahrweiler";"07131";"Main-Kinzig-Kreis";"06435";"20";"20";"0";"20";"0";"0"
"Ahrweiler";"07131";"Main-Taunus-Kreis";"06436";"40";"30";"10";"40";"0";"0"
"Ahrweiler";"07131";"Offenbach";"06438";"50";"40";"20";"50";"10";"0"
"Ahrweiler";"07131";"Rheingau-Taunus-Kreis";"06439";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"Gießen";"06531";"10";"10";"0";"10";"10";"0"
"Ahrweiler";"07131";"Limburg-Weilburg";"06533";"30";"20";"10";"20";"10";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"070xx";"50";"30";"20";"40";"10";"0"
"Ahrweiler";"07131";"Koblenz, kreisfreie Stadt";"07111";"1490";"830";"670";"1370";"120";"60"
"Ahrweiler";"07131";"Altenkirchen (Westerwald)";"07132";"40";"30";"10";"40";"10";"0"
"Ahrweiler";"07131";"Bad Kreuznach";"07133";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Cochem-Zell";"07135";"180";"110";"70";"160";"20";"10"
"Ahrweiler";"07131";"Mayen-Koblenz";"07137";"3540";"2050";"1500";"3300";"250";"140"
"Ahrweiler";"07131";"Neuwied";"07138";"1200";"660";"550";"1030";"170";"60"
"Ahrweiler";"07131";"Rhein-Hunsrück-Kreis";"07140";"90";"70";"20";"90";"0";"0"
"Ahrweiler";"07131";"Rhein-Lahn-Kreis";"07141";"90";"50";"40";"80";"10";"0"
"Ahrweiler";"07131";"Westerwaldkreis";"07143";"150";"100";"50";"140";"10";"0"
"Ahrweiler";"07131";"Trier, kreisfreie Stadt";"07211";"80";"30";"50";"80";"0";"0"
"Ahrweiler";"07131";"Bernkastel-Wittlich";"07231";"40";"20";"20";"30";"0";"0"
"Ahrweiler";"07131";"Eifelkreis Bitburg-Prüm";"07232";"60";"40";"20";"60";"0";"0"
"Ahrweiler";"07131";"Vulkaneifel";"07233";"570";"330";"230";"520";"50";"30"
"Ahrweiler";"07131";"Trier-Saarburg";"07235";"30";"20";"10";"30";"0";"0"
"Ahrweiler";"07131";"Kaiserslautern, kreisfreie Stadt";"07312";"10";"10";"10";"10";"0";"0"
